team,unit_type,position,depth,jersey,player
Air Force Falcons,Offense,LT,1,60,Gage Spencer
Air Force Falcons,Offense,LT,2,73,Brandon Nazworth
Air Force Falcons,Offense,LG,1,58,Tj Tarascio
Air Force Falcons,Offense,LG,2,76,Brody Smith
Air Force Falcons,Offense,C,1,57,Gabriel Averitt
Air Force Falcons,Offense,C,2,51,Rudy Varela
Air Force Falcons,Offense,RG,1,72,Jon Ashford
Air Force Falcons,Offense,RG,2,66,Jace Sutulovich
Air Force Falcons,Offense,RT,1,55,Luke Vonderhaar
Air Force Falcons,Offense,RT,2,74,Brian Bradley
Air Force Falcons,Offense,TE,1,87,Parker Menefee
Air Force Falcons,Offense,TE,2,80,Simon Kibbee
Air Force Falcons,Offense,TE,3,86,Griffin Stalfort
Air Force Falcons,Offense,QB,1,11,Josh Johnson
Air Force Falcons,Offense,QB,2,13,Maguire Martin
Air Force Falcons,Offense,RB,1,44,Rocco Conti
Air Force Falcons,Offense,RB,2,27,Kaden Cloud
Air Force Falcons,Offense,FB,1,2,Owen Allen
Air Force Falcons,Offense,FB,2,12,Terrence Gist
Air Force Falcons,Defense,DE,1,15,Jackson Adams
Air Force Falcons,Defense,DE,2,10,Jack Curtis
Air Force Falcons,Defense,DE,3,98,Desean Davis
Air Force Falcons,Defense,NT,1,91,Lukia Rawls Jr.
Air Force Falcons,Defense,NT,2,92,Jackson Garrett
Air Force Falcons,Defense,DT,1,93,Andrew Tillett
Air Force Falcons,Defense,DT,2,55,Jayden Oquendo
Air Force Falcons,Defense,OLB,1,45,Jaylin Reese
Air Force Falcons,Defense,OLB,2,43,Chances Carter Hill
Air Force Falcons,Defense,WLB,1,33,Brody Bujnoch
Air Force Falcons,Defense,WLB,2,34,Vinnie Canosa
Air Force Falcons,Defense,MLB,1,0,Luke Fisher
Air Force Falcons,Defense,MLB,2,39,Brodie Mitchell
Air Force Falcons,Defense,SPUR,1,7,Nick Beckwith
Air Force Falcons,Defense,SPUR,2,46,Zach Juckel
Air Force Falcons,Defense,LCB,1,2,Korey Johnson
Air Force Falcons,Defense,LCB,2,23,Rj Reedus
Air Force Falcons,Defense,SS,1,19,Houston Hendrix
Air Force Falcons,Defense,SS,2,20,Jt Tomescko
Air Force Falcons,Defense,FS,1,16,Jet Wiley
Air Force Falcons,Defense,FS,2,38,Ty Hubert
Air Force Falcons,Defense,RCB,1,22,Ehimen Oyamendan
Air Force Falcons,Defense,RCB,2,24,Jordan Elie Stuart
Air Force Falcons,Special Teams,PT,1,94,Will Duncan
Air Force Falcons,Special Teams,PT,2,91,Rip Perez
Air Force Falcons,Special Teams,PK,1,39,Jacob Medina
Air Force Falcons,Special Teams,KO,1,39,Jacob Medina
Air Force Falcons,Special Teams,LS,1,42,Jake Helms
Air Force Falcons,Special Teams,H,1,94,Will Duncan
Air Force Falcons,Special Teams,H,2,91,Rip Perez
Air Force Falcons,Special Teams,PR,1,18,Quin Smith
Air Force Falcons,Special Teams,KR,1,8,Kade Frew
Akron Zips,Offense,LT,1,77,Jayme Motley Simmons
Akron Zips,Offense,LG,1,55,Amarie Archer
Akron Zips,Offense,C,1,57,Delvin Morris
Akron Zips,Offense,RT,1,52,Javirea Moore
Akron Zips,Offense,TE,1,85,Conner Cravaack
Akron Zips,Offense,TE,2,87,Max Whisner
Akron Zips,Offense,QB,1,15,Michael Johnson Jr.
Akron Zips,Offense,QB,2,6,Brayden Roggow
Akron Zips,Offense,RB,1,22,Jordan Gant
Akron Zips,Offense,RB,2,24,Marquese Williams
Akron Zips,Defense,LDE,1,50,Jahvon Frazier
Akron Zips,Defense,NT,1,91,Nehemiah Musika
Akron Zips,Defense,NT,2,90,Dimitri Madden
Akron Zips,Defense,DT,1,54,Kiawan Murphy
Akron Zips,Defense,DT,2,97,Jontrell Mixon
Akron Zips,Defense,RDE,1,16,Dahvon Frazier
Akron Zips,Defense,WLB,1,8,Rich Benenge
Akron Zips,Defense,MLB,1,42,Melvin Spriggs
Akron Zips,Defense,MLB,2,44,Markus Boswell
Akron Zips,Defense,LCB,1,14,Ben Kamara
Akron Zips,Defense,SS,1,20,Mehki Flowers
Akron Zips,Defense,SS,2,4,Justin Anderson
Akron Zips,Defense,FS,1,9,Aamii Branch
Akron Zips,Defense,FS,2,24,Dj Stepney
Akron Zips,Defense,RCB,1,15,Terence Thomas
Akron Zips,Defense,NB,1,15,Terence Thomas
Akron Zips,Special Teams,PT,1,34,Brayden Johnson
Akron Zips,Special Teams,PK,1,99,Owen Wiley
Akron Zips,Special Teams,KO,1,34,Brayden Johnson
Akron Zips,Special Teams,LS,1,49,Frank Miner
Akron Zips,Special Teams,H,1,34,Brayden Johnson
Akron Zips,Special Teams,PR,1,15,Terence Thomas
Akron Zips,Special Teams,KR,1,24,Dj Stepney
Alabama Crimson Tide,Offense,LT,1,78,Jackson Lloyd
Alabama Crimson Tide,Offense,LG,1,70,William Sanders
Alabama Crimson Tide,Offense,C,1,69,Joseph Ionata
Alabama Crimson Tide,Offense,RG,1,77,Jaeden Roberts
Alabama Crimson Tide,Offense,RG,2,73,Olaus Alinen
Alabama Crimson Tide,Offense,RT,1,64,Michael Carroll
Alabama Crimson Tide,Offense,RT,2,87,Danny Lewis Jr.
Alabama Crimson Tide,Offense,RT,3,88,Jay Lindsey
Alabama Crimson Tide,Offense,RT,4,81,Kaleb Edwards
Alabama Crimson Tide,Offense,RT,5,80,Josh Cuevas
Alabama Crimson Tide,Offense,RT,6,89,Brody Dalton
Alabama Crimson Tide,Offense,RT,7,14,Marshall Pritchett
Alabama Crimson Tide,Offense,QB,1,10,Austin Mack
Alabama Crimson Tide,Offense,QB,2,12,Keelon Russell
Alabama Crimson Tide,Offense,RB,1,28,Kevin Riley
Alabama Crimson Tide,Defense,DE,1,11,Jordan Renaud
Alabama Crimson Tide,Defense,DE,2,31,Keon Keeley
Alabama Crimson Tide,Defense,NT,1,90,London Simmons
Alabama Crimson Tide,Defense,NT,2,88,Isaia Faga
