team,unit_type,position,depth,jersey,player
Air Force Falcons,Offense,WR-X,1,18,Smith
Air Force Falcons,Offense,WR-Z,1,21,Harris
Air Force Falcons,Offense,LT,1,78,Tate
Air Force Falcons,Offense,LG,1,75,Falk
Air Force Falcons,Offense,C,1,67,Cooley
Air Force Falcons,Offense,RG,1,62,Burnett
Air Force Falcons,Offense,RT,1,52,Elwood
Air Force Falcons,Offense,TE,1,88,Fleischmann
Air Force Falcons,Offense,QB,1,4,Hodges
Air Force Falcons,Offense,RB,1,8,Frew
Air Force Falcons,Offense,FB,1,5,Carson
Air Force Falcons,Defense,DE,1,95,Grobe
Air Force Falcons,Defense,NT,1,96,Zdroik
Air Force Falcons,Defense,DT,1,99,Swartz
Air Force Falcons,Defense,OLB,1,30,Hubert
Air Force Falcons,Defense,WLB,1,6,Fletcher
Air Force Falcons,Defense,MLB,1,8,Daley
Air Force Falcons,Defense,SPUR,1,26,Perez
Air Force Falcons,Defense,LCB,1,9,Brown
Air Force Falcons,Defense,SS,1,36,Mustell
Air Force Falcons,Defense,FS,1,5,Jones Jr.
Air Force Falcons,Defense,RCB,1,4,Seiken
Air Force Falcons,Special Teams,PT,1,97,Freer
Air Force Falcons,Special Teams,PK,1,96,Tubbs
Air Force Falcons,Special Teams,KO,1,96,Tubbs
Air Force Falcons,Special Teams,LS,1,49,Chesney
Air Force Falcons,Special Teams,H,1,97,Freer
Air Force Falcons,Special Teams,PR,1,21,Harris
Air Force Falcons,Special Teams,KR,1,21,Harris
Akron Zips,Offense,WR-X,1,5,Polk
Akron Zips,Offense,WR-Z,1,2,Williams
Akron Zips,Offense,WR-SL,1,1,Walker
Akron Zips,Offense,LT,1,78,Johnson Jr.
Akron Zips,Offense,LG,1,53,McManus IV
Akron Zips,Offense,C,1,72,Lyons
Akron Zips,Offense,RG,1,56,Davis
Akron Zips,Offense,RT,1,50,Jones Jr.
Akron Zips,Offense,TE,1,88,Newell
Akron Zips,Offense,QB,1,10,Finley
Akron Zips,Offense,RB,1,13,Patrick
Akron Zips,Defense,LDE,1,10,Durham
Akron Zips,Defense,NT,1,5,Hull
Akron Zips,Defense,DT,1,1,Laventure
Akron Zips,Defense,RDE,1,41,Dall
Akron Zips,Defense,WLB,1,7,Cooper
Akron Zips,Defense,MLB,1,23,Summers
Akron Zips,Defense,LCB,1,11,Reed
Akron Zips,Defense,SS,1,13,Hunter
Akron Zips,Defense,FS,1,18,Johnson
Akron Zips,Defense,RCB,1,17,DeWalt IV
Akron Zips,Defense,NB,1,9,Branch
Akron Zips,Special Teams,PT,1,95,Castle
Akron Zips,Special Teams,PK,1,47,Schramm
Akron Zips,Special Teams,KO,1,99,Wiley
Akron Zips,Special Teams,LS,1,30,Dennis
Akron Zips,Special Teams,H,1,95,Castle
Akron Zips,Special Teams,PR,1,13,Patrick
Akron Zips,Special Teams,KR,1,15,Thomas
Alabama Crimson Tide,Offense,WR-X,1,1,Horton
Alabama Crimson Tide,Offense,WR-Z,1,5,Bernard
Alabama Crimson Tide,Offense,WR-H,1,2,Williams
Alabama Crimson Tide,Offense,LT,1,74,Proctor
Alabama Crimson Tide,Offense,LG,1,71,Dewberry
Alabama Crimson Tide,Offense,C,1,72,Brailsford
Alabama Crimson Tide,Offense,RG,1,56,VanDeMark
Alabama Crimson Tide,Offense,RT,1,75,Formby
Alabama Crimson Tide,Offense,TE-Y,1,87,Lewis Jr.
Alabama Crimson Tide,Offense,TE-H,1,80,Cuevas
Alabama Crimson Tide,Offense,QB,1,15,Simpson
Alabama Crimson Tide,Offense,RB,1,26,Miller
Alabama Crimson Tide,Defense,DE,1,22,Overton
Alabama Crimson Tide,Defense,NT,1,96,Keenan III
Alabama Crimson Tide,Defense,DT,1,23,Smith
Alabama Crimson Tide,Defense,RUSH,1,42,Pierre
Alabama Crimson Tide,Defense,WLB,1,0,Lawson
Alabama Crimson Tide,Defense,MLB,1,10,Jefferson
Alabama Crimson Tide,Defense,LCB,1,1,Jackson
Alabama Crimson Tide,Defense,SS,1,3,Sabb
Alabama Crimson Tide,Defense,FS,1,18,Hubbard
Alabama Crimson Tide,Defense,RCB,1,2,Brown
Alabama Crimson Tide,Defense,NB,1,7,Jones
Alabama Crimson Tide,Special Teams,PT,1,38,Doud
Alabama Crimson Tide,Special Teams,PK,1,31,Talty
Alabama Crimson Tide,Special Teams,KO,1,31,Talty
Alabama Crimson Tide,Special Teams,LS,1,45,Bird
Alabama Crimson Tide,Special Teams,H,1,38,Doud
Alabama Crimson Tide,Special Teams,PR,1,7,Adams
Alabama Crimson Tide,Special Teams,KR,1,17,Brooks
Appalachian State Mountaineers,Offense,WR-X,1,3,Mbake
Appalachian State Mountaineers,Offense,WR-Z,1,1,Dozier
Appalachian State Mountaineers,Offense,WR-SL,1,15,Barnes
Appalachian State Mountaineers,Offense,LT,1,63,Ramsey
Appalachian State Mountaineers,Offense,LG,1,52,Sweatt
